iter	Passed	Remaining
0	138	138587
1	141	70512
2	143	47691
3	145	36180
4	147	29281
5	149	24701
6	151	21469
7	153	19068
8	155	17159
9	157	15609
10	159	14360
11	161	13333
12	164	12458
13	166	11695
14	167	11017
15	169	10433
16	171	9909
17	173	9440
18	174	9027
19	176	8662
20	178	8334
21	180	8029
22	182	7755
23	184	7505
24	186	7270
25	188	7047
26	190	6850
27	191	6660
28	193	6480
29	195	6317
30	197	6171
31	199	6020
32	200	5885
33	202	5767
34	204	5647
35	206	5523
36	208	5415
37	209	5311
38	210	5194
39	212	5102
40	213	4997
41	214	4894
42	216	4815
43	218	4749
44	220	4686
45	221	4601
46	223	4531
47	224	4459
48	226	4398
49	228	4343
50	229	4278
51	231	4222
52	233	4172
53	235	4118
54	236	4055
55	237	4001
56	238	3947
57	239	3897
58	241	3854
59	242	3800
60	244	3757
61	245	3709
62	246	3666
63	247	3626
64	249	3589
65	251	3554
66	252	3517
67	253	3471
68	254	3438
69	256	3405
70	257	3373
71	259	3341
72	260	3308
73	261	3276
74	263	3244
75	264	3212
76	265	3182
77	266	3153
78	267	3123
79	269	3093
80	270	3066
81	271	3038
82	272	3010
83	273	2983
84	274	2952
85	275	2928
86	276	2900
87	277	2875
88	278	2850
89	279	2825
90	280	2801
91	281	2778
92	282	2754
93	283	2731
94	284	2708
95	285	2686
96	286	2664
97	287	2644
98	288	2623
99	289	2603
100	290	2584
101	290	2560
102	291	2540
103	292	2520
104	293	2501
105	294	2482
106	295	2464
107	296	2447
108	297	2429
109	298	2412
110	299	2394
111	299	2377
112	300	2360
113	301	2344
114	302	2328
115	303	2312
116	304	2297
117	305	2282
118	306	2265
119	307	2251
120	307	2236
121	308	2221
122	309	2204
123	309	2189
124	310	2176
125	311	2163
126	312	2149
127	313	2134
128	314	2120
129	314	2107
130	315	2093
131	316	2080
132	317	2066
133	317	2053
134	318	2041
135	319	2027
136	319	2014
137	320	2001
138	321	1988
139	321	1976
140	322	1963
141	323	1951
142	323	1939
143	324	1927
144	324	1916
145	325	1904
146	326	1893
147	327	1882
148	327	1871
149	328	1860
150	329	1850
151	329	1840
152	330	1829
153	331	1820
154	331	1809
155	332	1800
156	333	1790
157	334	1780
158	334	1771
159	335	1761
160	336	1752
161	336	1743
162	337	1733
163	338	1724
164	338	1715
165	339	1707
166	340	1698
167	341	1689
168	341	1680
169	342	1671
170	343	1663
171	343	1655
172	344	1647
173	345	1639
174	346	1631
175	346	1623
176	347	1616
177	348	1608
178	349	1601
179	349	1593
180	350	1584
181	350	1576
182	351	1569
183	352	1561
184	352	1554
185	353	1547
186	354	1540
187	354	1533
188	355	1525
189	356	1518
190	356	1511
191	357	1504
192	358	1498
193	358	1491
194	359	1484
195	360	1477
196	360	1471
197	361	1465
198	362	1458
199	363	1452
200	363	1446
201	364	1440
202	365	1434
203	366	1428
204	366	1422
205	367	1416
206	368	1410
207	368	1404
208	369	1398
209	370	1392
210	370	1386
211	371	1380
212	372	1374
213	372	1368
214	373	1362
215	373	1357
216	374	1351
217	375	1345
218	375	1339
219	376	1334
220	377	1329
221	377	1324
222	378	1319
223	379	1313
224	379	1308
225	380	1303
226	381	1298
227	381	1293
228	382	1287
229	383	1282
230	383	1277
231	384	1272
232	384	1267
233	385	1262
234	386	1257
235	386	1252
236	387	1247
237	387	1242
238	388	1237
239	389	1232
240	389	1227
241	390	1223
242	391	1218
243	391	1213
244	392	1208
245	392	1204
246	393	1199
247	394	1195
248	394	1190
249	395	1186
250	395	1181
251	396	1177
252	397	1172
253	397	1168
254	398	1164
255	399	1160
256	399	1156
257	400	1152
258	401	1148
259	402	1144
260	402	1140
261	403	1136
262	404	1132
263	404	1128
264	405	1124
265	406	1120
266	406	1116
267	407	1112
268	407	1108
269	408	1104
270	409	1100
271	409	1096
272	410	1092
273	411	1089
274	411	1085
275	412	1081
276	412	1077
277	413	1073
278	414	1070
279	414	1066
280	415	1062
281	416	1059
282	416	1055
283	417	1051
284	417	1048
285	418	1044
286	419	1041
287	419	1037
288	420	1033
289	420	1030
290	421	1026
291	422	1023
292	422	1019
293	423	1016
294	423	1013
295	424	1009
296	425	1006
297	425	1003
298	426	999
299	426	996
300	427	992
301	428	989
302	428	986
303	429	982
304	429	979
305	430	976
306	431	973
307	431	970
308	432	966
309	432	963
310	433	960
311	434	957
312	434	954
313	435	951
314	436	948
315	436	945
316	437	942
317	437	939
318	438	936
319	439	933
320	439	930
321	440	927
322	441	924
323	441	921
324	442	918
325	443	915
326	443	912
327	444	910
328	444	907
329	445	904
330	446	901
331	446	898
332	447	895
333	447	893
334	448	890
335	449	887
336	449	885
337	450	882
338	451	879
339	451	877
340	452	874
341	453	871
342	453	869
343	454	866
344	454	863
345	455	860
346	456	858
347	456	855
348	457	852
349	457	850
350	458	847
351	459	845
352	459	842
353	460	839
354	460	837
355	461	834
356	462	832
357	462	829
358	463	827
359	464	824
360	464	822
361	465	819
362	465	817
363	466	815
364	467	812
365	467	810
366	468	807
367	469	805
368	469	803
369	470	800
370	470	798
371	471	795
372	472	793
373	472	791
